"ID","TIME","ANGLE","CAMERA","IS_REVIEWED","IS_REVIEWED_POSITIVE_SIGHTING","POSITIVE_PROCESED","IS_FLAGGED","IS_TRUCK","LICENCE_PLATE","FLASH_CONFIDENCE","NON_FLASH_CONFIDENCE","VEHICLE_TYPE_REVIEW","SIGHTING_CLASS","PROCESSED_BY","PROCESSED_ON","REVIEWED_BY","REVIEWED_ON"
"000001c7-1e61-4ea5-98db-6597bf920d58","Friday, October 19, 2018 9:07 PM","CLOSE","CLOSE-4K",,,false,false,,,,,,,"jaycorichter@gmail.com","Monday, October 22, 2018 11:12 AM",,""
"000186a1-dd58-4630-817b-6305e2078762","Thursday, October 18, 2018 5:17 PM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"jaycorichter@gmail.com","Sunday, October 21, 2018 10:42 PM",,""
"0001f80b-4d75-4f62-b849-865b3a39fc53","Thursday, October 18, 2018 10:41 AM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"cam@onetask.com.au","Saturday, October 20, 2018 8:23 PM",,""
"000570b7-c922-4086-a9d4-044ab20f9780","Thursday, October 18, 2018 8:31 AM","CLOSE","CLOSE-4K",,,false,false,,,,,,,"cam@onetask.com.au","Saturday, October 20, 2018 12:48 PM",,""
"000680f7-7ab7-40c4-8491-f32cf52bbd91","Tuesday, October 16, 2018 2:56 PM","UPROAD","UPROAD-4K",,,false,,,,,,,,"cam@onetask.com.au","Thursday, October 18, 2018 12:56 AM",,""
"00075587-6dc0-4438-9325-83c0643d4bb2","Thursday, October 18, 2018 7:39 PM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"jaycorichter@gmail.com","Sunday, October 21, 2018 11:09 PM",,""
"000866bd-a9db-4a58-8b6d-c83778f246cf","Tuesday, October 16, 2018 7:12 AM","UPROAD","UPROAD-4K",,,false,,,,,,,,"alex@onetask.com.au","Wednesday, October 17, 2018 3:06 PM",,""
"000a1552-d33c-42de-8456-e42a612ad79e","Friday, October 19, 2018 1:03 PM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"jaycorichter@gmail.com","Sunday, October 21, 2018 11:46 PM",,""
"000b67d4-c540-4844-b8f3-4bb82a7c3aba","Tuesday, October 16, 2018 4:58 PM","CLOSE","CLOSE-4K",,,false,,,,,,,,"cam@onetask.com.au","Wednesday, October 17, 2018 9:49 PM",,""
"000be089-b42d-4607-ada0-3f2626c54851","Thursday, October 18, 2018 7:58 AM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"cam@onetask.com.au","Saturday, October 20, 2018 7:28 PM",,""
"000d01ee-f552-44fb-8618-bfba18df0bed","Tuesday, October 16, 2018 6:21 AM","UPROAD","UPROAD-4K",,,false,,,,,,,,"alex@onetask.com.au","Wednesday, October 17, 2018 2:20 PM",,""
"000e6d0e-3840-4cff-bdae-ff0238111e2a","Friday, October 19, 2018 10:43 PM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"jaycorichter@gmail.com","Monday, October 22, 2018 12:40 PM",,""
"00114889-813d-447f-a0ca-98ca5c873b32","Thursday, October 18, 2018 10:14 PM","UPROAD","UPROAD-4K",,,false,true,,,,,,,"jaycorichter@gmail.com","Sunday, October 21, 2018 11:17 PM",,""
"00116048-525d-4db7-a163-9576730c6f7c","Wednesday, October 17, 2018 11:10 AM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"cam@onetask.com.au","Friday, October 19, 2018 4:48 PM",,""
"0011b87f-a7a9-4781-bc48-92d71750815b","Thursday, October 18, 2018 9:04 AM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"cam@onetask.com.au","Saturday, October 20, 2018 7:52 PM",,""
"0011d008-a2aa-4a47-9f66-163818c357f9","Thursday, October 18, 2018 6:02 PM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"jaycorichter@gmail.com","Sunday, October 21, 2018 10:47 PM",,""
"001383c1-36da-49c6-aaf2-07290bee4556","Wednesday, October 17, 2018 3:50 PM","UPROAD","UPROAD-4K",,,false,true,,,,,,,"cam@onetask.com.au","Friday, October 19, 2018 5:39 PM",,""
"00139380-13b6-4e4e-903e-ad07b23a1320","Tuesday, October 16, 2018 5:47 PM","UPROAD","UPROAD-4K",,,false,,,,,,,,"cam@onetask.com.au","Wednesday, October 17, 2018 10:32 PM",,""
"00151346-591c-486e-a562-99f2bd8967f6","Thursday, October 18, 2018 7:34 AM","UPROAD","UPROAD-4K",,,false,false,,,,,,,"cam@onetask.com.au","Saturday, October 20, 2018 5:29 PM",,""
"001565eb-c498-4c7e-abfd-1d0b5bf34c7b","Tuesday, October 16, 2018 11:31 AM","UPROAD","UPROAD-4K",,,false,,,,,,,,"alex@onetask.com.au","Wednesday, October 17, 2018 10:05 PM",,""
"0015a5d5-f906-41e3-84c8-3033a3b3e7b2","Thursday, October 18, 2018 10:35 AM","CLOSE","CLOSE-4K",,,false,false,,,,,,,"cam@onetask.com.au","Saturday, October 20, 2018 1:20 PM",,""
"0015aec0-10a2-4498-8a6f-c2470c6be2e4","Wednesday, October 17, 2018 3:27 PM","CLOSE","CLOSE-4K",,,false,false,,,,,,,"cam@onetask.com.au","Friday, October 19, 2018 8:30 AM",,""
"00174032-d8f4-458e-bda6-675f9da18b5b","Tuesday, October 16, 2018 4:43 AM","CLOSE","CLOSE-4K",,,false,,,,,,,,"cam@onetask.com.au","Wednesday, October 17, 2018 1:21 PM",,""
"0017b6c9-40d2-4966-ae4f-1f2b4672d0d2","Friday, October 19, 2018 11:28 PM","CLOSE","CLOSE-4K",,,false,false,,,,,,,"jaycorichter@gmail.com","Monday, October 22, 2018 11:32 AM",,""
"0018f6ef-48bd-4393-bb86-55cf761c0041","Tuesday, October 16, 2018 5:47 PM","UPROAD","UPROAD-4K",,,false,,,,,,,,"cam@onetask.com.au","Wednesday, October 17, 2018 10:33 PM",,""
